id,description,latitude,longitude,pickup
1,na,33.95148072,-118.3423223,1
2,na,33.8991758,-118.1900877,1
3,na,33.93663089,-118.3027159,1
4,na,33.96470035,-118.3674426,1
5,na,33.90587021,-118.180979,1
6,na,34.07578815,-118.1681849,1
7,na,33.90068544,-118.1985547,1
8,na,34.08405449,-118.2282289,1
9,na,34.03720797,-118.1451477,1
10,na,33.94561555,-118.3316807,1
11,na,33.87611116,-118.1870824,1
12,na,34.04864517,-118.2286855,1
13,na,33.90760648,-118.374713,1
14,na,34.07913566,-118.351665,1
15,na,34.08594272,-118.3350185,1
16,na,34.10082011,-118.1569191,1
17,na,33.97744569,-118.1761477,1
18,na,33.949962,-118.2956973,1
19,na,33.8973182,-118.1802256,1
20,na,34.01709769,-118.3252345,1
21,na,34.09301713,-118.3133752,1
22,na,34.05946302,-118.1557576,1
23,na,34.06072906,-118.2000726,1
24,na,33.92981172,-118.1975088,1
25,na,33.97846936,-118.1504338,1
26,na,33.98198551,-118.2553618,1
27,na,33.99637339,-118.372981,1
28,na,34.10255452,-118.2445063,1
29,na,33.90252319,-118.2421653,1
30,na,34.01087388,-118.1302355,1
31,na,34.09490988,-118.2774802,1
32,na,34.05547852,-118.115478,1
33,na,34.10031085,-118.3025403,1
34,na,34.08985927,-118.2097564,1
35,na,33.94881886,-118.1426465,1
36,na,34.0859162,-118.29884,1
37,na,34.00527479,-118.2129534,1
38,na,34.0964851,-118.2654048,1
39,na,33.94114957,-118.240018,1
40,na,33.98185451,-118.3339419,1
41,na,33.96428351,-118.3100761,1
42,na,33.97017687,-118.1255528,1
43,na,34.01107361,-118.1986596,1
44,na,33.94554559,-118.0995069,1
45,na,34.06905021,-118.2001497,1
46,na,33.92356716,-118.1721535,1
47,na,33.94108573,-118.1091482,1
48,na,33.95821764,-118.255252,1
49,na,34.08552529,-118.2589164,1
50,na,34.07140283,-118.2846801,1
51,na,33.978561,-118.3373576,1
52,na,34.08221963,-118.3251448,1
53,na,34.03022352,-118.3020676,1
54,na,33.99821791,-118.13257,1
55,na,34.03575528,-118.1439744,1
56,na,33.9752241,-118.100624,1
57,na,34.01116416,-118.3660796,1
58,na,33.96163375,-118.2028963,1
59,na,34.06574426,-118.2519455,1
60,na,33.94655384,-118.1846434,1
61,na,34.07261751,-118.1038436,1
62,na,33.97282629,-118.0948633,1
63,na,33.92499477,-118.3228753,1
64,na,34.05406797,-118.3498036,1
65,na,34.02990459,-118.2954854,1
66,na,34.03457685,-118.3689869,1
67,na,33.9896767,-118.1539587,1
68,na,33.88381844,-118.3185467,1
69,na,33.94360541,-118.1512133,1
70,na,33.96562705,-118.3034691,1
71,na,33.94726774,-118.3713572,1
72,na,34.07247721,-118.2061246,1
73,na,33.99912983,-118.1224913,1
74,na,34.03941979,-118.2553111,1
75,na,34.06555352,-118.3591979,1
76,na,33.9969418,-118.3087033,1
77,na,34.04317936,-118.2271276,1
78,na,34.10117967,-118.2098426,1
79,na,33.99165272,-118.3611546,1
80,na,34.09684169,-118.3335838,1
81,na,34.08463877,-118.3069528,1
82,na,34.08710192,-118.1180679,1
83,na,34.07185675,-118.3653894,1
84,na,33.91773446,-118.2670214,1
85,na,34.09069205,-118.3745086,1
86,na,33.91392721,-118.2503696,1
87,na,34.03256652,-118.0941858,1
88,na,33.90928333,-118.0951494,1
89,na,34.09782109,-118.1657859,1
90,na,33.98672671,-118.3315521,1
91,na,33.95611803,-118.1645811,1
92,na,34.05262491,-118.3585003,1
93,na,34.00660415,-118.2050591,1
94,na,33.93550689,-118.1179964,1
95,na,33.96339496,-118.2662014,1
96,na,33.88386687,-118.1685598,1
97,na,34.04058982,-118.2646888,1
98,na,34.066706,-118.3487457,1
99,na,33.8973886,-118.3620798,1
100,na,34.06942335,-118.1145072,1
